MONTH,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,IS_DELAYED,DAY_OF_WEEK,DEP_HOUR,IS_PEAK_HOUR,IS_WEEKEND,ORIGIN_DAILY_FLIGHTS,ROUTE_AVG_DELAY,CARRIER_AVG_DELAY,DELAY_PROBABILITY,flight_idx,gate,delay_probability
1,2023-01-09,9E,ATL,VLD,1125,-4.0,1231,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,0,878,14.524390243902438,12.107711726873836,0.2693444,23,48,0.2693444
1,2023-01-09,9E,ATL,XNA,832,-1.0,931,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,11.00909090909091,12.107711726873836,0.18342996,24,73,0.18342996
1,2023-01-09,AA,ATL,CLT,708,-6.0,822,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,13.841961852861036,14.436436409181256,0.24139655,25,6,0.24139655
1,2023-01-09,AA,ATL,CLT,855,-11.0,1015,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,13.841961852861036,14.436436409181256,0.2990088,26,43,0.2990088
1,2023-01-09,AA,ATL,DFW,600,0.0,730,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,878,17.57667386609071,14.436436409181256,0.22639295,27,17,0.22639295
1,2023-01-09,AA,ATL,DFW,930,-1.0,1103,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,17.57667386609071,14.436436409181256,0.3949807,28,0,0.3949807
1,2023-01-09,AA,ATL,MIA,602,-5.0,800,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,878,28.07880910683012,14.436436409181256,0.25159082,29,13,0.25159082
1,2023-01-09,AA,ATL,MIA,653,-3.0,851,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,878,28.07880910683012,14.436436409181256,0.25159082,30,16,0.25159082
1,2023-01-09,AA,ATL,PHL,730,-8.0,930,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,21.80217391304348,14.436436409181256,0.2907836,31,20,0.2907836
1,2023-01-09,AS,ATL,SEA,800,10.0,1040,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,17.544303797468356,6.286699963956542,0.3374828,32,10,0.3374828
1,2023-01-09,B6,ATL,BOS,1055,-7.0,1326,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,16.630695443645084,16.77504569588302,0.510224,33,17,0.510224
1,2023-01-09,B6,ATL,FLL,730,-3.0,928,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,18.82450832072617,16.77504569588302,0.31184638,34,12,0.31184638
1,2023-01-09,B6,ATL,JFK,715,-5.0,931,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,1,0,878,21.55263157894737,16.77504569588302,0.35442537,35,5,0.35442537
1,2023-01-09,B6,ATL,JFK,954,30.0,1205,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1,0,9,1,0,878,21.55263157894737,16.77504569588302,0.48303276,36,12,0.48303276
1,2023-01-09,DL,ATL,ABQ,855,-1.0,1023,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,9.65,13.207272336365714,0.32122898,37,41,0.32122898
1,2023-01-09,DL,ATL,ALB,1115,19.0,1325,28.0,0.0,0.0,19.0,0.0,9.0,0.0,0.0,1,0,11,0,0,878,17.013157894736842,13.207272336365714,0.479772,38,14,0.479772
1,2023-01-09,DL,ATL,AUS,805,0.0,939,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,10.795847750865052,13.207272336365714,0.26483396,39,44,0.26483396
1,2023-01-09,DL,ATL,AUS,1000,-1.0,1134,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,878,10.795847750865052,13.207272336365714,0.31508127,40,55,0.31508127
1,2023-01-09,DL,ATL,AVL,911,2.0,1004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0,878,10.033333333333331,13.207272336365714,0.28739238,41,44,0.28739238
1,2023-01-09,DL,ATL,BDL,815,-4.0,1030,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,1,0,878,5.639240506329114,13.207272336365714,0.1951861,42,68,0.1951861
